special_abilities_id,name,desc,attack_bonus,damage_dice
24,Ancient Black Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
25,Ancient Black Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
26,Ancient Brass Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
27,Ancient Bronze Dragon - Amphibious,The dragon can breathe air and water.,0,
28,Ancient Bronze Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
29,Ancient Copper Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
30,Ancient Gold Dragon - Amphibious,The dragon can breathe air and water.,0,
31,Ancient Gold Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
32,Ancient Green Dragon - Amphibious,The dragon can breathe air and water.,0,
33,Ancient Green Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
34,Ancient Red Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
35,Ancient Silver Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
36,Ancient White Dragon - Ice Walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment.",0,
37,Ancient White Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
38,Androsphinx - Inscrutable,"The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.",0,
39,Androsphinx - Magic Weapons,The sphinx's weapon attacks are magical.,0,
40,Androsphinx - Spellcasting,"The sphinx is a 12th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 18, +10 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared:

• Cantrips (at will): sacred flame, spare the dying, thaumaturgy
• 1st level (4 slots): command, detect evil and good, detect magic
• 2nd level (3 slots): lesser restoration, zone of truth
• 3rd level (3 slots): dispel magic, tongues
• 4th level (3 slots): banishment, freedom of movement
• 5th level (2 slots): flame strike, greater restoration
• 6th level (1 slot): heroes' feast",0,
41,Animated Armor - Antimagic Susceptibility,"The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.",0,
42,Animated Armor - False Appearance,"While the armor remains motionless, it is indistinguishable from a normal suit of armor.",0,
43,Archmage - Magic Resistance,The archmage has advantage on saving throws against spells and other magical effects.,0,
44,Archmage - Spellcasting,"The archmage is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The archmage can cast disguise self and invisibility at will and has the following wizard spells prepared:

• Cantrips (at will): fire bolt, light, mage hand, prestidigitation, shocking grasp
• 1st level (4 slots): detect magic, identify, mage armor*, magic missile
• 2nd level (3 slots): detect thoughts, mirror image, misty step
• 3rd level (3 slots): counterspell,fly, lightning bolt
• 4th level (3 slots): banishment, fire shield, stoneskin*
• 5th level (3 slots): cone of cold, scrying, wall of force
• 6th level (1 slot): globe of invulnerability
• 7th level (1 slot): teleport
• 8th level (1 slot): mind blank*
• 9th level (1 slot): time stop
* The archmage casts these spells on itself before combat.",0,
45,Assassin - Assassinate,"During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.",0,
46,Assassin - Evasion,"If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.",0,
47,Assassin - Sneak Attack (1/Turn),"The assassin deals an extra 13 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 ft. of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.",0,4d6
48,Awakened Shrub - False Appearance,"While the shrub remains motionless, it is indistinguishable from a normal shrub.",0,
49,Awakened Tree - False Appearance,"While the tree remains motionless, it is indistinguishable from a normal tree.",0,
50,Azer - Heated Body,A creature that touches the azer or hits it with a melee attack while within 5 ft. of it takes 5 (1d10) fire damage.,0,1d10
51,Azer - Heated Weapons,"When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack).",0,
52,Azer - Illumination,The azer sheds bright light in a 10-foot radius and dim light for an additional 10 ft..,0,
53,Baboon - Pack Tactics,The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 ft. of the creature and the ally isn't incapacitated.,0,
54,Badger - Keen Smell,The badger has advantage on Wisdom (Perception) checks that rely on smell.,0,
55,Balor - Death Throes,"When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons.",0,20d6
56,Balor - Fire Aura,"At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.",0,3d6
57,Balor - Magic Resistance,The balor has advantage on saving throws against spells and other magical effects.,0,
58,Balor - Magic Weapons,The balor's weapon attacks are magical.,0,
59,Barbed Devil - Barbed Hide,"At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it.",0,1d10
60,Barbed Devil - Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0,
61,Barbed Devil - Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,0,
62,Basilisk - Petrifying Gaze,"If a creature starts its turn within 30 ft. of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.
A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save.
If the basilisk sees its reflection within 30 ft. of it in bright light, it mistakes itself for a rival and targets itself with its gaze.",0,
63,Bat - Echolocation,The bat can't use its blindsight while deafened.,0,
64,Bat - Keen Hearing,The bat has advantage on Wisdom (Perception) checks that rely on hearing.,0,
65,Bearded Devil - Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0,
66,Bearded Devil - Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,0,
67,Bearded Devil - Steadfast,The devil can't be frightened while it can see an allied creature within 30 feet of it.,0,
68,Berserker - Reckless,"At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.",0,
69,Black Bear - Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0,
70,Black Dragon Wyrmling - Amphibious,The dragon can breathe air and water.,0,
71,Black Pudding - Amorphous,The pudding can move through a space as narrow as 1 inch wide without squeezing.,0,
72,Black Pudding - Corrosive Form,"A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round.",0,1d8
73,Black Pudding - Spider Climb,"The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0,
74,Blink Dog - Keen Hearing and Smell,The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.,0,
75,Blood Hawk - Keen Sight,The hawk has advantage on Wisdom (Perception) checks that rely on sight.,0,
76,Blood Hawk - Pack Tactics,The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 ft. of the creature and the ally isn't incapacitated.,0,
77,Boar - Charge,"If the boar moves at least 20 ft. straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",0,1d6
78,Boar - Relentless (Recharges after a Short or Long Rest),"If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",0,
79,Bone Devil - Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0,
80,Bone Devil - Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,0,
81,Bronze Dragon Wyrmling - Amphibious,The dragon can breathe air and water.,0,
82,Brown Bear - Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0,
83,Bugbear - Brute,A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).,0,
84,Bugbear - Surprise Attack,"If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.",0,2d6
85,Bulette - Standing Leap,"The bulette's long jump is up to 30 ft. and its high jump is up to 15 ft., with or without a running start.",0,
86,Carrion Crawler - Keen Smell,The carrion crawler has advantage on Wisdom (Perception) checks that rely on smell.,0,
87,Carrion Crawler - Spider Climb,"The carrion crawler can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0,
88,Cat - Keen Smell,The cat has advantage on Wisdom (Perception) checks that rely on smell.,0,
89,Cave Bear - Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0,
90,Centaur - Charge,"If the centaur moves at least 30 ft. straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.",0,3d6
91,Chain Devil - Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0,
92,Chain Devil - Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,0,
93,Chuul - Amphibious,The chuul can breathe air and water.,0,
94,Chuul - Sense Magic,The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.,0,
95,Clay Golem - Acid Absorption,"Whenever the golem is subjected to acid damage, it takes no damage and instead regains a number of hit points equal to the acid damage dealt.",0,
96,Clay Golem - Berserk,"Whenever the golem starts its turn with 60 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.",0,
97,Clay Golem - Immutable Form,The golem is immune to any spell or effect that would alter its form.,0,
98,Clay Golem - Magic Resistance,The golem has advantage on saving throws against spells and other magical effects.,0,
99,Clay Golem - Magic Weapons,The golem's weapon attacks are magical.,0,
100,Cloaker - Damage Transfer,"While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down). and that creature takes the other half.",0,
101,Cloaker - False Appearance,"While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.",0,
102,Cloaker - Light Sensitivity,"While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.",0,
103,Cloud Giant - Keen Smell,The giant has advantage on Wisdom (Perception) checks that rely on smell.,0,
104,Cloud Giant - Innate Spellcasting,"The giant's innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:

At will: detect magic, fog cloud, light
3/day each: feather fall, fly, misty step, telekinesis
1/day each: control weather, gaseous form",0,
105,Couatl - Innate Spellcasting,"The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components:

At will: detect evil and good, detect magic, detect thoughts
3/day each: bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield
1/day each: dream, greater restoration, scrying",0,
106,Couatl - Magic Weapons,The couatl's weapon attacks are magical.,0,
107,Couatl - Shielded Mind,"The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.",0,
108,Crab - Amphibious,The crab can breathe air and water.,0,
109,Crocodile - Hold Breath,The crocodile can hold its breath for 15 minutes.,0,
110,Cult Fanatic - Dark Devotion,The fanatic has advantage on saving throws against being charmed or frightened.,0,
111,Cult Fanatic - Spellcasting,"The fanatic is a 4th-level spellcaster. Its spell casting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). The fanatic has the following cleric spells prepared:

Cantrips (at will): light, sacred flame, thaumaturgy
• 1st level (4 slots): command, inflict wounds, shield of faith
• 2nd level (3 slots): hold person, spiritual weapon",0,
112,Cultist - Dark Devotion,The cultist has advantage on saving throws against being charmed or frightened.,0,
113,Darkmantle - Echolocation,The darkmantle can't use its blindsight while deafened.,0,
114,Darkmantle - False Appearance,"While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.",0,
115,Death Dog - Two-Headed,"The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.",0,
116,Deep Gnome (Svirfneblin) - Stone Camouflage,The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.,0,
117,Deep Gnome (Svirfneblin) - Gnome Cunning,"The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic.",0,
118,Deep Gnome (Svirfneblin) - Innate Spellcasting,"The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components:
At will: nondetection (self only)
1/day each: blindness/deafness, blur, disguise self",0,
119,Deva - Angelic Weapons,"The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack).",0,
120,Deva - Innate Spellcasting,"The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components:
At will: detect evil and good
1/day each: commune, raise dead",0,
121,Deva - Magic Resistance,The deva has advantage on saving throws against spells and other magical effects.,0,
122,Dire Wolf - Keen Hearing and Smell,The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.,0,
123,Dire Wolf - Pack Tactics,The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 ft. of the creature and the ally isn't incapacitated.,0,
124,Djinni - Elemental Demise,"If the djinni dies, its body disintegrates into a warm breeze, leaving behind only equipment the djinni was wearing or carrying.",0,
125,Djinni - Innate Spellcasting,"The djinni's innate spellcasting ability is Charisma (spell save DC 17, +9 to hit with spell attacks). It can innately cast the following spells, requiring no material components:

At will: detect evil and good, detect magic, thunderwave 3/day each: create food and water (can create wine instead of water), tongues, wind walk
1/day each: conjure elemental (air elemental only), creation, gaseous form, invisibility, major image, plane shift",0,
126,Djinni - Variant: Genie Powers,"Genies have a variety of magical capabilities, including spells. A few have even greater powers that allow them to alter their appearance or the nature of reality.

Disguises.
Some genies can veil themselves in illusion to pass as other similarly shaped creatures. Such genies can innately cast the disguise self spell at will, often with a longer duration than is normal for that spell. Mightier genies can cast the true polymorph spell one to three times per day, possibly with a longer duration than normal. Such genies can change only their own shape, but a rare few can use the spell on other creatures and objects as well.
Wishes.
The genie power to grant wishes is legendary among mortals. Only the most potent genies, such as those among the nobility, can do so. A particular genie that has this power can grant one to three wishes to a creature that isn't a genie. Once a genie has granted its limit of wishes, it can't grant wishes again for some amount of time (usually 1 year). and cosmic law dictates that the same genie can expend its limit of wishes on a specific creature only once in that creature's existence.
To be granted a wish, a creature within 60 feet of the genie states a desired effect to it. The genie can then cast the wish spell on the creature's behalf to bring about the effect. Depending on the genie's nature, the genie might try to pervert the intent of the wish by exploiting the wish's poor wording. The perversion of the wording is usually crafted to be to the genie's benefit.",0,
127,Doppelganger - Shapechanger,"The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.",0,
128,Doppelganger - Ambusher,The doppelganger has advantage on attack rolls against any creature it has surprised.,0,
129,Doppelganger - Surprise Attack,"If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.",0,3d6
130,Dragon Turtle - Amphibious,The dragon turtle can breathe air and water.,0,
131,Drider - Fey Ancestry,"The drider has advantage on saving throws against being charmed, and magic can't put the drider to sleep.",0,
132,Drider - Innate Spellcasting,"The drider's innate spellcasting ability is Wisdom (spell save DC 13). The drider can innately cast the following spells, requiring no material components:
At will: dancing lights
1/day each: darkness, faerie fire",0,
133,Drider - Spider Climb,"The drider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0,
134,Drider - Sunlight Sensitivity,"While in sunlight, the drider has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",0,
135,Drider - Web Walker,The drider ignores movement restrictions caused by webbing.,0,
136,Drow - Fey Ancestry,"The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.",0,
137,Drow - Innate Spellcasting,"The drow's spellcasting ability is Charisma (spell save DC 11). It can innately cast the following spells, requiring no material components:
At will: dancing lights
1/day each: darkness, faerie fire",0,
138,Drow - Sunlight Sensitivity,"While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",0,
139,Druid - Spellcasting,"The druid is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). It has the following druid spells prepared:

• Cantrips (at will): druidcraft, produce flame, shillelagh
• 1st level (4 slots): entangle, longstrider, speak with animals, thunderwave
• 2nd level (3 slots): animal messenger, barkskin",0,
140,Dryad - Innate Spellcasting,"The dryad's innate spellcasting ability is Charisma (spell save DC 14). The dryad can innately cast the following spells, requiring no material components:

At will: druidcraft
3/day each: entangle, goodberry
1/day each: barkskin, pass without trace, shillelagh",0,
141,Dryad - Magic Resistance,The dryad has advantage on saving throws against spells and other magical effects.,0,
142,Dryad - Speak with Beasts and Plants,The dryad can communicate with beasts and plants as if they shared a language.,0,
143,Dryad - Tree Stride,"Once on her turn, the dryad can use 10 ft. of her movement to step magically into one living tree within her reach and emerge from a second living tree within 60 ft. of the first tree, appearing in an unoccupied space within 5 ft. of the second tree. Both trees must be large or bigger.",0,
144,Duergar - Duergar Resilience,"The duergar has advantage on saving throws against poison, spells, and illusions, as well as to resist being charmed or paralyzed.",0,
145,Duergar - Sunlight Sensitivity,"While in sunlight, the duergar has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",0,
146,Dust Mephit - Death Burst,"When the mephit dies, it explodes in a burst of dust. Each creature within 5 ft. of it must then succeed on a DC 10 Constitution saving throw or be blinded for 1 minute. A blinded creature can repeat the saving throw on each of its turns, ending the effect on itself on a success.",0,
147,Dust Mephit - Innate Spellcasting (1/Day),"The mephit can innately cast sleep, requiring no material components. Its innate spellcasting ability is Charisma.",0,
148,Eagle - Keen Sight,The eagle has advantage on Wisdom (Perception) checks that rely on sight.,0,
149,Earth Elemental - Earth Glide,"The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.",0,
150,Earth Elemental - Siege Monster,The elemental deals double damage to objects and structures.,0,
151,Efreeti - Elemental Demise,"If the efreeti dies, its body disintegrates in a flash of fire and puff of smoke, leaving behind only equipment the djinni was wearing or carrying.",0,
152,Efreeti - Innate Spellcasting,"The efreeti's innate spell casting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). It can innately cast the following spells, requiring no material components:

At will: detect magic
3/day: enlarge/reduce, tongues
1/day each: conjure elemental (fire elemental only), gaseous form, invisibility, major image, plane shift, wall of fire",0,
153,Efreeti - Variant: Genie Powers,"Genies have a variety of magical capabilities, including spells. A few have even greater powers that allow them to alter their appearance or the nature of reality.

Disguises.
Some genies can veil themselves in illusion to pass as other similarly shaped creatures. Such genies can innately cast the disguise self spell at will, often with a longer duration than is normal for that spell. Mightier genies can cast the true polymorph spell one to three times per day, possibly with a longer duration than normal. Such genies can change only their own shape, but a rare few can use the spell on other creatures and objects as well.
Wishes.
The genie power to grant wishes is legendary among mortals. Only the most potent genies, such as those among the nobility, can do so. A particular genie that has this power can grant one to three wishes to a creature that isn't a genie. Once a genie has granted its limit of wishes, it can't grant wishes again for some amount of time (usually 1 year). and cosmic law dictates that the same genie can expend its limit of wishes on a specific creature only once in that creature's existence.
To be granted a wish, a creature within 60 feet of the genie states a desired effect to it. The genie can then cast the wish spell on the creature's behalf to bring about the effect. Depending on the genie's nature, the genie might try to pervert the intent of the wish by exploiting the wish's poor wording. The perversion of the wording is usually crafted to be to the genie's benefit.",0,
154,Elephant - Trampling Charge,"If the elephant moves at least 20 ft. straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the elephant can make one stomp attack against it as a bonus action.",0,
155,Elk - Charge,"If the elk moves at least 20 ft. straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",0,2d6
156,Erinyes - Hellish Weapons,The erinyes's weapon attacks are magical and deal an extra 13 (3d8) poison damage on a hit (included in the attacks).,0,
157,Erinyes - Magic Resistance,The erinyes has advantage on saving throws against spells and other magical effects.,0,
158,Ettercap - Spider Climb,"The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0,
159,Ettercap - Web Sense,"While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.",0,
160,Ettercap - Web Walker,The ettercap ignores movement restrictions caused by webbing.,0,
161,Ettin - Two Heads,"The ettin has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.",0,
162,Ettin - Wakeful,"When one of the ettin's heads is asleep, its other head is awake.",0,
163,Fire Elemental - Fire Form,"The elemental can move through a space as narrow as 1 inch wide without squeezing. A creature that touches the elemental or hits it with a melee attack while within 5 ft. of it takes 5 (1d10) fire damage. In addition, the elemental can enter a hostile creature's space and stop there. The first time it enters a creature's space on a turn, that creature takes 5 (1d10) fire damage and catches fire; until someone takes an action to douse the fire, the creature takes 5 (1d10) fire damage at the start of each of its turns.",0,5d10
164,Fire Elemental - Illumination,The elemental sheds bright light in a 30-foot radius and dim light in an additional 30 ft..,0,
165,Fire Elemental - Water Susceptibility,"For every 5 ft. the elemental moves in water, or for every gallon of water splashed on it, it takes 1 cold damage.",0,
166,Flesh Golem - Berserk,"Whenever the golem starts its turn with 40 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.
The golem's creator, if within 60 feet of the berserk golem, can try to calm it by speaking firmly and persuasively. The golem must be able to hear its creator, who must take an action to make a DC 15 Charisma (Persuasion) check. If the check succeeds, the golem ceases being berserk. If it takes damage while still at 40 hit points or fewer, the golem might go berserk again.",0,
167,Flesh Golem - Aversion of Fire,"If the golem takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.",0,
168,Flesh Golem - Immutable Form,The golem is immune to any spell or effect that would alter its form.,0,
169,Flesh Golem - Lightning Absorption,"Whenever the golem is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt.",0,
170,Flesh Golem - Magic Resistance,The golem has advantage on saving throws against spells and other magical effects.,0,
171,Flesh Golem - Magic Weapons,The golem's weapon attacks are magical.,0,
172,Flying Snake - Flyby,The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach.,0,
173,Flying Sword - Antimagic Susceptibility,"The sword is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.",0,
174,Flying Sword - False Appearance,"While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.",0,
175,Frog - Amphibious,The frog can breathe air and water,0,
176,Frog - Standing Leap,"The frog's long jump is up to 10 ft. and its high jump is up to 5 ft., with or without a running start.",0,
177,Gargoyle - False Appearance,"While the gargoyle remains motion less, it is indistinguishable from an inanimate statue.",0,
178,Gelatinous Cube - Ooze Cube,"The cube takes up its entire space. Other creatures can enter the space, but a creature that does so is subjected to the cube's Engulf and has disadvantage on the saving throw.
Creatures inside the cube can be seen but have total cover.
A creature within 5 feet of the cube can take an action to pull a creature or object out of the cube. Doing so requires a successful DC 12 Strength check, and the creature making the attempt takes 10 (3d6) acid damage.
The cube can hold only one Large creature or up to four Medium or smaller creatures inside it at a time.",0,
179,Gelatinous Cube - Transparent,"Even when the cube is in plain sight, it takes a successful DC 15 Wisdom (Perception) check to spot a cube that has neither moved nor attacked. A creature that tries to enter the cube's space while unaware of the cube is surprised by the cube.",0,
180,Ghast - Stench,"Any creature that starts its turn within 5 ft. of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the ghast's Stench for 24 hours.",0,
181,Ghast - Turn Defiance,The ghast and any ghouls within 30 ft. of it have advantage on saving throws against effects that turn undead.,0,
182,Ghost - Ethereal Sight,"The ghost can see 60 ft. into the Ethereal Plane when it is on the Material Plane, and vice versa.",0,
