name,size,type,subtype,alignment,armor_class,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,wisdom_save,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,special_abilities,actions,constitution_save,perception,history,legendary_actions,intelligence_save,religion,medicine,stealth,dexterity_save,charisma_save,persuasion,insight,deception,athletics,arcana,nature,acrobatics,strength_save,reactions,survival,investigation,intimidation,performance,arctic,coast,desert,forest,grassland,hill,mountain,swamp,underdark,underwater,urban
Adult Red Dragon,Huge,dragon,,chaotic evil,19,256,19d12,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,7,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic",17,['Adult Red Dragon - Legendary Resistance (3/Day)'],"{'Adult Red Dragon - Tail', 'Adult Red Dragon - Claw', 'Adult Red Dragon - Multiattack', 'Adult Red Dragon - Lair Actions', 'Adult Red Dragon - Fire Breath (Recharge 5-6)', 'Adult Red Dragon - Bite', 'Adult Red Dragon - Frightful Presence'}",13,13,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,6,6,11,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Adult Silver Dragon,Huge,dragon,,lawful good,19,243,18d12,"40 ft., fly 80 ft.",27,10,25,16,13,21,6,,,cold,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic",16,['Adult Silver Dragon - Legendary Resistance (3/Day)'],"{'Adult Silver Dragon - Breath Weapons (Recharge 5-6)', 'Adult Silver Dragon - Tail', 'Adult Silver Dragon - Claw', 'Adult Silver Dragon - Multiattack', 'Adult Silver Dragon - Bite', 'Adult Silver Dragon - Frightful Presence'}",12,11,8,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,5,5,10,,,,,8,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Adult White Dragon,Huge,dragon,,chaotic evil,18,200,16d12,"40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.",22,10,22,8,12,12,6,,,cold,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic",13,"['Adult White Dragon - Ice Walk', 'Adult White Dragon - Legendary Resistance (3/Day)']","{'Adult White Dragon - Claw', 'Adult White Dragon - Multiattack', 'Adult White Dragon - Tail', 'Adult White Dragon - Bite', 'Adult White Dragon - Frightful Presence', 'Adult White Dragon - Cold Breath (Recharge 5-6)'}",11,11,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,5,5,6,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Air Elemental,Large,elemental,,neutral,15,90,12d10,fly 90 ft. (hover),14,20,14,6,10,6,,,"lightning; thunder; bludgeoning, piercing, and slashing from nonmagical weapons",poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","darkvision 60 ft., passive Perception 10",Auran,5,['Air Elemental - Air Form'],"{'Air Elemental - Slam', 'Air Elemental - Whirlwind (Recharge 4-6)', 'Air Elemental - Multiattack'}",,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Ancient Black Dragon,Gargantuan,dragon,,chaotic evil,22,367,21d20,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,19,9,,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 26","Common, Draconic",21,"['Ancient Black Dragon - Amphibious', 'Ancient Black Dragon - Legendary Resistance (3/Day)', 'Ancient Black Dragon - Legendary Resistance (3/Day)']","{'Ancient Black Dragon - Claw', 'Ancient Black Dragon - Bite', 'Ancient Black Dragon - Multiattack', 'Ancient Black Dragon - Tail', 'Ancient Black Dragon - Acid Breath (Recharge 5-6)', 'Ancient Black Dragon - Frightful Presence'}",14,16,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,9,9,11,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Ancient Blue Dragon,Gargantuan,dragon,,lawful evil,22,481,26d20,"40 ft., burrow 40 ft., fly 80 ft.",29,10,27,18,17,21,10,,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic",23,,"{'Ancient Blue Dragon - Frightful Presence', 'Ancient Blue Dragon - Lightning Breath (Recharge 5-6)', 'Ancient Blue Dragon - Bite', 'Ancient Blue Dragon - Claw', 'Ancient Blue Dragon - Tail', 'Ancient Blue Dragon - Multiattack'}",15,17,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,7,7,12,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ancient Brass Dragon,Gargantuan,dragon,,chaotic good,20,297,17d20,"40 ft., burrow 40 ft., fly 80 ft.",27,10,25,16,15,19,8,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 24","Common, Draconic",20,['Ancient Brass Dragon - Legendary Resistance (3/Day)'],"{'Ancient Brass Dragon - Tail', 'Ancient Brass Dragon - Frightful Presence', 'Ancient Brass Dragon - Breath Weapons (Recharge 5-6)', 'Ancient Brass Dragon - Multiattack', 'Ancient Brass Dragon - Bite', 'Ancient Brass Dragon - Change Shape', 'Ancient Brass Dragon - Claw'}",13,14,9,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,6,6,10,10,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ancient Bronze Dragon,Gargantuan,dragon,,lawful good,22,444,24d20,"40 ft., fly 80 ft., swim 40 ft.",29,10,27,18,17,21,10,,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic",22,"['Ancient Bronze Dragon - Amphibious', 'Ancient Bronze Dragon - Legendary Resistance (3/Day)']","{'Ancient Bronze Dragon - Change Shape', 'Ancient Bronze Dragon - Tail', 'Ancient Bronze Dragon - Breath Weapons (Recharge 5-6)', 'Ancient Bronze Dragon - Multiattack', 'Ancient Bronze Dragon - Bite', 'Ancient Bronze Dragon - Claw', 'Ancient Bronze Dragon - Frightful Presence'}",15,17,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,7,7,12,,10,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ancient Copper Dragon,Gargantuan,dragon,,chaotic good,21,350,20d20,"40 ft., climb 40 ft., fly 80 ft.",27,12,25,20,17,19,10,,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic",21,['Ancient Copper Dragon - Legendary Resistance (3/Day)'],"{'Ancient Copper Dragon - Frightful Presence', 'Ancient Copper Dragon - Bite', 'Ancient Copper Dragon - Multiattack', 'Ancient Copper Dragon - Claw', 'Ancient Copper Dragon - Change Shape', 'Ancient Copper Dragon - Tail', 'Ancient Copper Dragon - Breath Weapons (Recharge 5-6)'}",14,17,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,8,8,11,,,11,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ancient Gold Dragon,Gargantuan,dragon,,lawful good,22,546,28d20,"40 ft., fly 80 ft., swim 40 ft.",30,14,29,18,17,28,10,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic",24,"['Ancient Gold Dragon - Amphibious', 'Ancient Gold Dragon - Legendary Resistance (3/Day)']","{'Ancient Gold Dragon - Multiattack', 'Ancient Gold Dragon - Tail', 'Ancient Gold Dragon - Bite', 'Ancient Gold Dragon - Claw', 'Ancient Gold Dragon - Frightful Presence', 'Ancient Gold Dragon - Breath Weapons (Recharge 5-6)', 'Ancient Gold Dragon - Change Shape'}",16,17,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,9,9,16,16,10,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ancient Green Dragon,Gargantuan,dragon,,lawful evil,21,385,22d20,"40 ft., fly 80 ft., swim 40 ft.",27,12,25,20,17,19,10,,,poison,poisoned,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic",22,"['Ancient Green Dragon - Amphibious', 'Ancient Green Dragon - Legendary Resistance (3/Day)']","{'Ancient Green Dragon - Bite', 'Ancient Green Dragon - Poison Breath (Recharge 5-6)', 'Ancient Green Dragon - Claw', 'Ancient Green Dragon - Multiattack', 'Ancient Green Dragon - Tail', 'Ancient Green Dragon - Frightful Presence'}",14,17,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,8,8,11,11,10,11,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ancient Red Dragon,Gargantuan,dragon,,chaotic evil,22,546,28d20,"40 ft., climb 40 ft., fly 80 ft.",30,10,29,18,15,23,9,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 26","Common, Draconic",24,['Ancient Red Dragon - Legendary Resistance (3/Day)'],"{'Ancient Red Dragon - Bite', 'Ancient Red Dragon - Tail', 'Ancient Red Dragon - Fire Breath (Recharge 5-6)', 'Ancient Red Dragon - Frightful Presence', 'Ancient Red Dragon - Claw', 'Ancient Red Dragon - Multiattack'}",16,16,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,7,7,13,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Ancient Silver Dragon,Gargantuan,dragon,,lawful good,22,487,25d20,"40 ft., fly 80 ft.",30,10,29,18,15,23,9,,,cold,,"blindsight 60 ft., darkvision 120 ft., passive Perception 26","Common, Draconic",23,['Ancient Silver Dragon - Legendary Resistance (3/Day)'],"{'Ancient Silver Dragon - Bite', 'Ancient Silver Dragon - Breath Weapons (Recharge 5-6)', 'Ancient Silver Dragon - Change Shape', 'Ancient Silver Dragon - Tail', 'Ancient Silver Dragon - Claw', 'Ancient Silver Dragon - Frightful Presence', 'Ancient Silver Dragon - Multiattack'}",16,16,11,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,7,7,13,,,,,11,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Ancient White Dragon,Gargantuan,dragon,,chaotic evil,20,333,18d20,"40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26,10,26,10,13,14,7,,,cold,,"blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic",20,"['Ancient White Dragon - Ice Walk', 'Ancient White Dragon - Legendary Resistance (3/Day)']","{'Ancient White Dragon - Claw', 'Ancient White Dragon - Frightful Presence', 'Ancient White Dragon - Bite', 'Ancient White Dragon - Cold Breath (Recharge 5-6)', 'Ancient White Dragon - Multiattack', 'Ancient White Dragon - Tail'}",14,13,,,,,,6,6,8,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
